公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
台泥,水泥工業,1101,1189,991,1030,922,0.27,5,0.0043,2861600,0.55,1,0.0001,4314312,218480,17428,0.8033,15,5,4,0.2667,1,1,0,1363.66,1363.66,0.0002,1,1,1,1
亞泥,水泥工業,1102,1326,1184,1056,930,0.2231,0,0,2329000,0.669,14,0,2924606.47,184773.12,97238.86,0.839,14,3,0,0,0.928,1,0,2654,2654,0.247,1,1,1,1
嘉泥,水泥工業,1103,1188,947,873,805,0.135,0,0,192562,0.085,4,0,834.85,6807.56,1956.7,0.0043,7,3,1,0.1429,0.9463,1,0,344,344,0.0002,1,1,1,1
環泥,水泥工業,1104,899,840,796,724,0.07,1,0.002,297227.22,0.066,2,0,34528.66,20707.6,7896.97,0.0123,7,3,0,0,1,1,0,16243.73,16243.73,0.0036,1,1,1,1
幸福,水泥工業,1108,736,610,580,521,0.2857,2,0.0044,955525,1.6115,1,0,526010,38629,7896.97,0.52,7,3,2,0.2857,1,1,0,8293.865,8293.865,0.0019,1,1,1,1
信大,水泥工業,1109,752,617,642,607,0.16,1,0,251619,0.0755,1,0,479891.48,37922.41,13837.24,75.12,9,3,1,0.1111,0.9777,0.3333,0,8293.865,8293.865,0.0019,1,1,1,1
東泥,水泥工業,1110,831,665,630,607,0.1818,1,0.0096,13060,0.0219,1,0.0521,2570,17073,7896.97,0.033,10,3,1,0.1,0.98,1,0,51.14,51.14,0.0301,1,1,1,1
味全,食品工業,1201,887,744,734,675,0.2838,9,0.0063,1831919,226.28,1,0.0066,11760.23,20663.67,4107.64,4,9,3,0,0,0.981,1,1.3,5378.4,5379.7,0.665,1,1,1,1
味王,食品工業,1203,677,590,609,579,0.097,10,0.014,0.312,0.137,1,0.13,5754.82,10013.07,3651.705,4.395,15,3,1,0.0667,0.7467,0.2667,26.275,430.575,567.8,0.25,1,1,1,1
大成,食品工業,1210,809,681,710,600,0.19,21,0.0092,520228.5,28.69885,4,0.0001,4910.97,14926.18,5191.075,2.1541,11,3,0,0,0.9688,0.9286,0,4561.215,4561.215,0.47545,1,1,1,1
